"timeStamp";"validityLeft";"validityRight";"pupilLeft";"pupilRight";"block";"trial";"cue";"event"
36365;0;0;3.35;3.45;1;1;"valid";"baseline"
36382;0;0;3.36;3.4;1;1;"valid";"baseline"
36399;0;0;3.42;3.42;1;1;"valid";"baseline"
36415;0;0;3.38;3.45;1;1;"valid";"baseline"
36432;0;0;3.35;3.48;1;1;"valid";"baseline"
36449;0;0;3.3;3.39;1;1;"valid";"baseline"
36465;0;0;3.32;3.36;1;1;"valid";"baseline"
36482;0;0;3.35;3.38;1;1;"valid";"baseline"
36498;0;0;3.28;3.35;1;1;"valid";"baseline"
36515;0;0;3.33;3.44;1;1;"valid";"baseline"
36532;0;0;3.3;3.42;1;1;"valid";"baseline"
36548;0;0;3.36;3.41;1;1;"valid";"baseline"
36565;0;0;3.36;3.38;1;1;"valid";"baseline"
36582;0;0;3.29;3.42;1;1;"valid";"baseline"
36598;0;0;3.35;3.39;1;1;"valid";"baseline"
36615;0;0;3.31;3.37;1;1;"valid";"baseline"
36632;0;0;3.38;3.4;1;1;"valid";"baseline"
36648;0;0;3.39;3.4;1;1;"valid";"baseline"
36665;0;0;3.4;3.39;1;1;"valid";"baseline"
36682;0;0;3.4;3.44;1;1;"valid";"baseline"
36698;0;0;3.43;3.4;1;1;"valid";"baseline"
36715;0;0;3.49;3.31;1;1;"valid";"baseline"
36732;0;0;3.69;3.41;1;1;"valid";"baseline"
36748;4;4;NA;NA;1;1;"valid";"baseline"
36765;0;0;3.41;3.42;1;1;"valid";"baseline"
36782;0;0;3.4;3.43;1;1;"valid";"baseline"
36798;0;0;3.4;3.36;1;1;"valid";"baseline"
36815;0;0;3.4;3.39;1;1;"valid";"baseline"
36831;0;0;3.41;3.39;1;1;"valid";"baseline"
36848;0;0;3.35;3.32;1;1;"valid";"baseline"
36998;0;0;3.52;3.55;1;1;"valid";"baseline"
37015;0;0;3.9;3.76;1;1;"valid";"baseline"
37031;0;0;4.13;3.81;1;1;"valid";"baseline"
37048;4;4;NA;NA;1;1;"valid";"baseline"
37065;0;0;3.46;3.45;1;1;"valid";"baseline"
37081;0;0;3.39;3.46;1;1;"valid";"baseline"
37098;0;0;3.39;3.44;1;1;"valid";"baseline"
37115;0;0;3.42;3.44;1;1;"valid";"baseline"
37131;0;0;3.42;3.41;1;1;"valid";"baseline"
37148;0;0;3.43;3.49;1;1;"valid";"baseline"
37165;0;0;3.42;3.52;1;1;"valid";"baseline"
37181;0;0;3.44;3.48;1;1;"valid";"baseline"
37198;0;0;3.46;3.49;1;1;"valid";"baseline"
37215;0;0;3.45;3.44;1;1;"valid";"baseline"
37231;0;0;3.45;3.46;1;1;"valid";"baseline"
37248;0;0;3.44;3.45;1;1;"valid";"baseline"
37265;0;0;3.44;3.44;1;1;"valid";"baseline"
